Date,Day,New Deaths,Daily,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
3/27/2020,1,0,0,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,3417,92,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/28/2020,2,9,489,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,3904,114,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/29/2020,3,4,27,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,4256,136,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/30/2020,4,0,37,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,4579,159,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/31/2020,5,5,33,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,187045000,0,,5717,201,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
4/1/2020,6,2,111,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,1.18E+11,0,2,1,1,0,0,0,,6836,241,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/2/2020,7,11,101,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,125175000,0,2,1,1,0,9191176,0,,7910,299,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/3/2020,8,5,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1758230000,0,,9056,359,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/4/2020,9,2,115,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,10278,432,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/5/2020,10,4,86,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,11130,486,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/6/2020,11,5,42,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,12056,553,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/7/2020,12,12,141,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,13717,667,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/8/2020,13,14,198,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,783527,0,2,1,1,0,63171900,0,,15927,800,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/9/2020,14,9,184,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1958820,0,,17857,941,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/10/2020,15,10,175,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,783527000,0,,19638,1056,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/11/2020,16,6,97,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,2355300,0,,20727,1124,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/12/2020,17,8,91,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,22169,1223,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/13/2020,18,9,326,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,50157800,0,,23430,1328,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/14/2020,19,25,71,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,28097700,0,,25262,1532,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/15/2020,20,27,126,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,7973660,0,,28320,1736,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/16/2020,21,28,140,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,227819000,0,,30425,1924,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/17/2020,22,24,287,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,113909000,0,2,1,1,0,0,0,,33682,2141,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/18/2020,23,18,113,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,36599,2347,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/19/2020,24,8,67,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,38654,2462,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/20/2020,25,12,117,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,892291000,0,2,1,1,0,0,0,,40581,2575,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/21/2020,26,36,344,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,14674800,0,,43079,2741,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/22/2020,27,20,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,45757,2906,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/23/2020,28,19,371,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,49492,3313,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/24/2020,29,25,64,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,4528169014,0,2,1,1,0,0,0,,52995,3670,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/25/2020,30,20,390,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,58509,4016,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
4/26/2020,31,15,17,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,61888,4205,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
4/27/2020,32,22,763,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,88183421.27,0,2,1,1,0,0,0,,66501,4543,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
4/28/2020,33,52,293,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,71886,5017,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
4/29/2020,34,46,135,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,78162,5466,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
4/30/2020,35,39,214,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,85380,5901,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
5/1/2020,36,39,286,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,91589,6329,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
5/2/2020,37,29,259,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,96559,6750,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
5/3/2020,38,28,302,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,101147,7025,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
5/4/2020,39,39,533,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,10484739.7,0,,107780,7321,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/5/2020,40,43,549,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,150000,0,2,1,1,0,0,0,,114715,7921,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/6/2020,41,51,745,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,14978072.61,0,,125218,8536,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/7/2020,42,155,474,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,135106,9146,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/8/2020,43,83,621,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,869716472,0,2,1,1,0,0,0,,145328,9897,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/9/2020,44,90,807,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,155939,10627,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/10/2020,45,34,41,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,162699,11123,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/11/2020,46,46,99,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,168331,11519,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/12/2020,47,107,197,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,177589,12400,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/13/2020,48,84,210,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,188974,13149,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/14/2020,49,146,238,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,202918,13993,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/15/2020,50,122,541,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,218223,14817,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/16/2020,51,120,580,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,233142,15633,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/17/2020,52,90,626,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,241080,16118,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/18/2020,53,119,522,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,254220,16792,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/19/2020,54,175,1090,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,271628,17971,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/20/2020,55,114,2540,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,291579,18859,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/21/2020,56,127,1680,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,310087,20047,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/22/2020,57,144,1420,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,330890,21048,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/23/2020,58,182,882,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,347398,22013,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50
5/24/2020,59,53,732,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,363211,22666,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/25/2020,60,76,691,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,374898,23473,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/26/2020,61,147,824,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,391222,24512,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/27/2020,62,157,1460,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,411821,25598,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/28/2020,63,158,1220,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,438238,26754,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/29/2020,64,137,1340,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,465166,27878,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/30/2020,65,95,1170,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,498440,28834,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
5/31/2020,66,53,676,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,514849,29314,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/1/2020,67,93,857,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,526447,29937,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/2/2020,68,157,1190,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,555383,31199,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/3/2020,69,227,1750,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,584016,32548,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/4/2020,70,176,744,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,614932,34021,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/5/2020,71,78,1350,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,645762,35026,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/6/2020,72,92,660,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,672837,35930,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/7/2020,73,61,412,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,691758,36455,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/8/2020,74,54,778,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,707412,37134,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/9/2020,75,83,1010,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,739503,38406,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/10/2020,76,117,1060,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,772416,39680,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/11/2020,77,134,1060,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,802828,40919,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/12/2020,78,27,487,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,828810,41828,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/13/2020,79,116,907,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,850514,42720,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/14/2020,80,50,357,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,867624,43332,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/15/2020,81,47,617,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,888271,43959,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/16/2020,82,149,1490,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,923189,45241,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/17/2020,83,104,2100,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,955377,46510,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/18/2020,84,165,277,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,978142,47748,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/19/2020,85,124,2500,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1032913,48954,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/20/2020,86,159,1380,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1067579,49976,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/21/2020,87,41,301,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1085038,50617,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/22/2020,88,43,492,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1106470,51271,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/23/2020,89,125,1400,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1145906,52645,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/24/2020,90,87,982,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1188631,53830,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/25/2020,91,74,862,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1228114,54971,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/26/2020,92,103,983,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1274974,55961,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/27/2020,93,102,134,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,127000000,,1313667,57070,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/28/2020,94,27,774,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1344143,57622,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/29/2020,95,24,291,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1368195,58314,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
6/30/2020,96,133,585,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1402041,59594,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
7/1/2020,97,68,943,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1448753,60632,77.31,77.31,76.9,76.9,66.35,66.35,69.32,69.32,50,50
7/2/2020,98,71,736,3,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1496858,61884,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/3/2020,99,102,833,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1539081,63174,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/4/2020,100,78,585,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1577004,64265,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/5/2020,101,29,200,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1603055,64867,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/6/2020,102,26,363,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1623284,65487,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/7/2020,103,131,1060,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1668589,66741,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/8/2020,104,46,805,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1713160,67964,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/9/2020,105,77,933,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1755779,69184,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/10/2020,106,76,631,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,30740000.32,0,,1800827,70398,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/11/2020,107,48,75,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1839850,71469,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/12/2020,108,8,8,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1864681,72100,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/13/2020,109,45,525,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1884967,72833,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/14/2020,110,77,486,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,244733580,0,,1926824,74133,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50
7/15/2020,111,68,368,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,2,0,0,0,,1966748,75366,,81.02,,80.48,,68.91,,72.35,50,50
