Date,Day,NewDeaths,Daily,C1_SchoolClosing,C1_Flag,C2_WorkplaceClosing,C2_Flag,C3_CancelPublicEvents,C3_Flag,C4_RestrictionsOnGatherings,C4_Flag,C5_ClosePublicTransport,C5_Flag,C6_StayAtHomeRequirements,C6_Flag,C7_RestrictionsOnInternalMovement,C7_Flag,C8_InternationalTravelControls,E1_IncomeSupport,E1_Flag,E2_Debt_contractRelief,E3_FiscalMeasures,E4_InternationalSupport,H1_PublicInformationCampaigns,H1_Flag,H2_TestingPolicy,H3_ContactTracing,H4_EmergencyInvestmentInHealthcare,H5_InvestmentInVaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Humidity,Temperature,pm25,pm10,co,no2,o3
03/27/2020,1,0,0,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,0,0,2,1,1,0,0,0,NaN,3417,92,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25,-1,-1,-1,-1,-1,-1,-1
03/28/2020,2,9,489,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,0,0,2,1,1,0,0,0,NaN,3904,114,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25,-1,-1,-1,-1,-1,-1,-1
03/29/2020,3,4,27,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,0,0,2,1,1,0,0,0,NaN,4256,136,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25,-1,-1,-1,-1,-1,-1,-1
03/30/2020,4,0,37,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,0,0,2,1,1,0,0,0,NaN,4579,159,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25,-1,-1,-1,-1,-1,-1,-1
03/31/2020,5,5,33,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,0,0,2,1,1,0,187045000,0,NaN,5717,201,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25,-1,-1,-1,-1,-1,-1,-1
04/01/2020,6,2,111,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,NaN,1,118000000000,0,2,1,1,0,0,0,NaN,6836,241,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/02/2020,7,11,101,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,125175000,0,2,1,1,0,9191176,0,NaN,7910,299,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/03/2020,8,5,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1758230000,0,NaN,9056,359,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/04/2020,9,2,115,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,10278,432,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/05/2020,10,4,86,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,11130,486,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/06/2020,11,5,42,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,12056,553,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/07/2020,12,12,141,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,13717,667,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/08/2020,13,14,198,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,783527,0,2,1,1,0,63171900,0,NaN,15927,800,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/09/2020,14,9,184,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1958820,0,NaN,17857,941,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/10/2020,15,10,175,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,783527000,0,NaN,19638,1056,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/11/2020,16,6,97,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,2355300,0,NaN,20727,1124,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/12/2020,17,8,91,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,22169,1223,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/13/2020,18,9,326,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,50157800,0,NaN,23430,1328,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/14/2020,19,25,71,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,28097700,0,NaN,25262,1532,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/15/2020,20,27,126,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,7973660,0,NaN,28320,1736,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/16/2020,21,28,140,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,227819000,0,NaN,30425,1924,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/17/2020,22,24,287,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,113909000,0,2,1,1,0,0,0,NaN,33682,2141,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/18/2020,23,18,113,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,36599,2347,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/19/2020,24,8,67,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,38654,2462,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/20/2020,25,12,117,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,892291000,0,2,1,1,0,0,0,NaN,40581,2575,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/21/2020,26,36,344,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,14674800,0,NaN,43079,2741,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/22/2020,27,20,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,45757,2906,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/23/2020,28,19,371,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,49492,3313,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/24/2020,29,25,64,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,4528169014,0,2,1,1,0,0,0,NaN,52995,3670,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50,-1,-1,-1,-1,-1,-1,-1
04/25/2020,30,20,390,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,58509,4016,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
04/26/2020,31,15,17,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,61888,4205,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
04/27/2020,32,22,763,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,88183421.27,0,2,1,1,0,0,0,NaN,66501,4543,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
04/28/2020,33,52,293,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,71886,5017,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
04/29/2020,34,46,135,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,78162,5466,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
04/30/2020,35,39,214,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,85380,5901,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
05/01/2020,36,39,286,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,91589,6329,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
05/02/2020,37,29,259,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,96559,6750,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
05/03/2020,38,28,302,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,101147,7025,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50,-1,-1,-1,-1,-1,-1,-1
05/04/2020,39,39,533,3,0,3,0,2,0,4,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,10484739.7,0,NaN,107780,7321,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/05/2020,40,43,549,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,150000,0,2,1,1,0,0,0,NaN,114715,7921,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/06/2020,41,51,745,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,14978072.61,0,NaN,125218,8536,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/07/2020,42,155,474,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,135106,9146,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/08/2020,43,83,621,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,869716472,0,2,1,1,0,0,0,NaN,145328,9897,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/09/2020,44,90,807,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,155939,10627,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/10/2020,45,34,41,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,162699,11123,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/11/2020,46,46,99,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,168331,11519,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/12/2020,47,107,197,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,177589,12400,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/13/2020,48,84,210,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,188974,13149,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/14/2020,49,146,238,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,202918,13993,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/15/2020,50,122,541,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,218223,14817,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/16/2020,51,120,580,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,233142,15633,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/17/2020,52,90,626,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,241080,16118,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
